Data Actual Time,Data Received Time,Time Difference,Latitude,Longitude,Speed,Altitude,Timestamp
2025-02-03 06:10:52,2025-02-03 06:10:55,00:00:03,26.7692783,85.28657,9,46.0,2025-02-03 06:10:52
2025-02-03 06:10:54,2025-02-03 06:10:59,00:00:05,26.7692666,85.2865199,9,46.0,2025-02-03 06:10:54
2025-02-03 06:10:57,2025-02-03 06:11:02,00:00:05,26.7692566,85.2864266,9,44.0,2025-02-03 06:10:57
2025-02-03 06:10:59,2025-02-03 06:11:02,00:00:03,26.7692483,85.286365,11,45.0,2025-02-03 06:10:59
2025-02-03 06:11:10,2025-02-03 06:11:13,00:00:03,26.7691816,85.2860583,7,49.0,2025-02-03 06:11:10
2025-02-03 06:11:14,2025-02-03 06:11:18,00:00:04,26.7691616,85.2860066,6,47.0,2025-02-03 06:11:14
2025-02-03 06:11:18,2025-02-03 06:11:23,00:00:05,26.7691383,85.2858799,14,47.0,2025-02-03 06:11:18
2025-02-03 06:11:20,2025-02-03 06:11:23,00:00:03,26.76911,85.2858066,15,48.0,2025-02-03 06:11:20
2025-02-03 06:11:25,2025-02-03 06:11:29,00:00:04,26.7689833,85.2856066,15,50.0,2025-02-03 06:11:25
2025-02-03 06:11:46,2025-02-03 06:11:50,00:00:04,26.76838,85.2848316,15,48.0,2025-02-03 06:11:46
2025-02-03 06:11:51,2025-02-03 06:11:55,00:00:04,26.768255,85.284695,15,47.0,2025-02-03 06:11:51
2025-02-03 06:12:16,2025-02-03 06:12:19,00:00:03,26.7675,85.2840916,19,52.0,2025-02-03 06:12:16
2025-02-03 06:12:34,2025-02-03 06:12:39,00:00:05,26.7667766,85.28347,24,51.0,2025-02-03 06:12:34
2025-02-03 06:12:46,2025-02-03 06:12:51,00:00:05,26.7662266,85.2830783,21,52.0,2025-02-03 06:12:46
2025-02-03 06:12:47,2025-02-03 06:12:51,00:00:04,26.7662366,85.283045,17,52.0,2025-02-03 06:12:47
2025-02-03 06:12:48,2025-02-03 06:12:51,00:00:03,26.766245,85.2830033,18,51.0,2025-02-03 06:12:48
2025-02-03 06:12:50,2025-02-03 06:12:55,00:00:05,26.7662549,85.282905,18,50.0,2025-02-03 06:12:50
2025-02-03 06:13:07,2025-02-03 06:13:10,00:00:03,26.7664416,85.281865,18,49.0,2025-02-03 06:13:07
2025-02-03 06:13:14,2025-02-03 06:13:18,00:00:04,26.7664799,85.2815783,12,48.0,2025-02-03 06:13:14
2025-02-03 06:13:15,2025-02-03 06:13:18,00:00:03,26.7664733,85.281545,13,48.0,2025-02-03 06:13:15
2025-02-03 06:13:18,2025-02-03 06:13:23,00:00:05,26.7664216,85.2814366,16,48.0,2025-02-03 06:13:18
2025-02-03 06:13:19,2025-02-03 06:13:23,00:00:04,26.76638,85.2814016,18,48.0,2025-02-03 06:13:19
2025-02-03 06:13:20,2025-02-03 06:13:23,00:00:03,26.7663283,85.2813733,20,48.0,2025-02-03 06:13:20
2025-02-03 06:13:42,2025-02-03 06:13:45,00:00:03,26.7655266,85.2809016,13,47.0,2025-02-03 06:13:42
2025-02-03 06:13:47,2025-02-03 06:13:53,00:00:06,26.76538,85.2808116,12,47.0,2025-02-03 06:13:47
2025-02-03 06:13:49,2025-02-03 06:13:53,00:00:04,26.7653399,85.2807833,7,47.0,2025-02-03 06:13:49
2025-02-03 06:13:52,2025-02-03 06:13:57,00:00:05,26.7652883,85.28074,12,49.0,2025-02-03 06:13:52
2025-02-03 06:13:54,2025-02-03 06:13:58,00:00:04,26.7652583,85.2807166,7,49.0,2025-02-03 06:13:54
2025-02-03 06:13:58,2025-02-03 06:14:04,00:00:06,26.7651933,85.2806366,13,51.0,2025-02-03 06:13:58
2025-02-03 06:14:00,2025-02-03 06:14:04,00:00:04,26.7651383,85.2805966,13,50.0,2025-02-03 06:14:00
2025-02-03 06:14:06,2025-02-03 06:14:09,00:00:03,26.7649216,85.2805033,13,49.0,2025-02-03 06:14:06
2025-02-03 06:14:09,2025-02-03 06:14:14,00:00:05,26.7648216,85.2804733,11,48.0,2025-02-03 06:14:09
2025-02-03 06:14:17,2025-02-03 06:14:20,00:00:03,26.7645833,85.2804166,14,47.0,2025-02-03 06:14:17
2025-02-03 06:14:28,2025-02-03 06:14:31,00:00:03,26.76403,85.2803116,24,48.0,2025-02-03 06:14:28
2025-02-03 06:14:42,2025-02-03 06:14:46,00:00:04,26.7631133,85.2800166,28,47.0,2025-02-03 06:14:42
2025-02-03 06:14:46,2025-02-03 06:14:51,00:00:05,26.7628216,85.2799599,27,47.0,2025-02-03 06:14:46
2025-02-03 06:14:52,2025-02-03 06:14:56,00:00:04,26.7623633,85.2798583,29,47.0,2025-02-03 06:14:52
2025-02-03 06:15:06,2025-02-03 06:15:09,00:00:03,26.761455,85.2795633,26,44.0,2025-02-03 06:15:06
2025-02-03 06:15:15,2025-02-03 06:15:18,00:00:03,26.7608933,85.2793583,16,45.0,2025-02-03 06:15:15
2025-02-03 06:15:20,2025-02-03 06:15:24,00:00:04,26.7607616,85.2792916,12,45.0,2025-02-03 06:15:20
2025-02-03 06:15:22,2025-02-03 06:15:25,00:00:03,26.76072,85.279235,12,45.0,2025-02-03 06:15:22
2025-02-03 06:15:23,2025-02-03 06:15:26,00:00:03,26.7606933,85.2791816,11,46.0,2025-02-03 06:15:23
2025-02-03 06:15:28,2025-02-03 06:15:33,00:00:05,26.7607266,85.27912,6,47.0,2025-02-03 06:15:28
2025-02-03 06:15:30,2025-02-03 06:15:34,00:00:04,26.7607733,85.2790933,9,47.0,2025-02-03 06:15:30
2025-02-03 06:15:33,2025-02-03 06:15:37,00:00:04,26.7608099,85.27902,11,46.0,2025-02-03 06:15:33
2025-02-03 06:15:35,2025-02-03 06:15:40,00:00:05,26.7608466,85.2789333,16,43.0,2025-02-03 06:15:35
2025-02-03 06:15:37,2025-02-03 06:15:41,00:00:04,26.7608683,85.2788333,14,43.0,2025-02-03 06:15:37
2025-02-03 06:15:39,2025-02-03 06:15:43,00:00:04,26.7608433,85.2787333,14,43.0,2025-02-03 06:15:39
2025-02-03 06:15:58,2025-02-03 06:16:01,00:00:03,26.7607383,85.2777666,14,36.0,2025-02-03 06:15:58
2025-02-03 06:15:59,2025-02-03 06:16:04,00:00:05,26.7607433,85.2777266,12,36.0,2025-02-03 06:15:59
2025-02-03 06:16:02,2025-02-03 06:16:07,00:00:05,26.7606433,85.2777099,8,39.0,2025-02-03 06:16:02
2025-02-03 06:16:03,2025-02-03 06:16:07,00:00:04,26.76056,85.2777099,15,39.0,2025-02-03 06:16:03
2025-02-03 06:16:04,2025-02-03 06:16:08,00:00:04,26.7604866,85.2777133,21,40.0,2025-02-03 06:16:04
2025-02-03 06:16:10,2025-02-03 06:16:15,00:00:05,26.7601266,85.277585,21,41.0,2025-02-03 06:16:10
2025-02-03 06:16:13,2025-02-03 06:16:20,00:00:07,26.759995,85.27753,18,45.0,2025-02-03 06:16:13
2025-02-03 06:16:17,2025-02-03 06:16:24,00:00:07,26.75995,85.2774,16,44.0,2025-02-03 06:16:17
